episode,discount,mid,surge,revenue_gain_pct,off_peak_uplift_pct,waiting_time_reduction_pct,pricing_efficiency,reward
1,0.1,0.2,0.5,14.853,4.169,17.474,18.3043,16.1034
2,0.1,0.2,0.5,14.853,4.169,17.474,18.3043,16.1034
3,0.1,0.2,0.5,14.853,4.169,17.474,18.3043,16.1034
4,0.05,0.313,0.6,19.32,2.008,20.651,19.4742,19.9226
5,0.058,0.35,0.658,20.874,2.354,22.074,19.874,21.5805
6,0.058,0.35,0.658,20.874,2.354,22.074,19.874,21.5805
7,0.163,0.344,0.636,19.77,7.131,21.627,19.5482,21.9098
8,0.163,0.344,0.636,19.77,7.131,21.627,19.5482,21.9098
9,0.163,0.344,0.636,19.77,7.131,21.627,19.5482,21.9098
10,0.203,0.35,0.683,20.136,9.195,22.514,19.6168,22.8947
11,0.203,0.35,0.683,20.136,9.195,22.514,19.6168,22.8947
12,0.118,0.35,0.8,21.921,5.005,24.401,20.1011,23.4224
13,0.118,0.35,0.8,21.921,5.005,24.401,20.1011,23.4224
14,0.182,0.35,0.8,21.476,8.106,24.401,19.955,23.9077
15,0.182,0.35,0.8,21.476,8.106,24.401,19.955,23.9077
16,0.202,0.35,0.8,21.333,9.155,24.401,19.907,24.0793
17,0.263,0.35,0.8,20.894,12.539,24.401,19.7569,24.656
18,0.263,0.35,0.8,20.894,12.539,24.401,19.7569,24.656
19,0.263,0.35,0.8,20.894,12.539,24.401,19.7569,24.656
20,0.263,0.35,0.8,20.894,12.539,24.401,19.7569,24.656
21,0.263,0.35,0.8,20.894,12.539,24.401,19.7569,24.656
22,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
23,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
24,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
25,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
26,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
27,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
28,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
29,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
30,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
31,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
32,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
33,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
34,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
35,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
36,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
37,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
38,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
39,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
40,0.3,0.35,0.8,20.616,14.83,24.401,19.6589,25.0652
